what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1366119519937
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1366119519937
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1366119519953
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1366119519953
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1366119519953
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1366119519968
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1366119520000
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1366119520015
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1366119520046
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1366119520062
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1366119520078
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1366119520125
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1366119520125
started,bundle,org.eclipse.wst.css.core,1.1.400.v201005261534,"org.eclipse.wst.css.core",1366119520140
started,bundle,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.ui",1366119520140
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1366119520140
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1366119520156
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1366119520156
started,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1366119520171
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1366119520171
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1366119520171
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1366119520187
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1366119520203
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.300.v201004150625,"org.eclipse.wst.jsdt.web.core",1366119520218
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1366119520250
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1366119520265
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1366119520281
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1366119520281
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1366119520281
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1366119520296
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1366119520296
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1366119520312
os,sysinfo,,,"win32",1366119520312
arch,sysinfo,,,"x86",1366119520312
ws,sysinfo,,,"win32",1366119520312
locale,sysinfo,,,"zh_CN",1366119520312
processors,sysinfo,,,"2",1366119520312
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1366119520312
java.runtime.version,sysinfo,,,"1.6.0_10-rc2-b32",1366119520312
java.specification.name,sysinfo,,,"Java Platform API Specification",1366119520312
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1366119520312
java.specification.version,sysinfo,,,"1.6",1366119520312
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1366119520312
java.version,sysinfo,,,"1.6.0_10-rc2",1366119520312
java.vm.info,sysinfo,,,"mixed mode",1366119520312
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1366119520312
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1366119520312
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1366119520312
java.vm.specification.version,sysinfo,,,"1.0",1366119520312
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1366119520312
java.vm.version,sysinfo,,,"11.0-b15",1366119520312
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1366119520687
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1366119520750
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1366119520750
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1366119520781
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1366119520890
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1366119521015
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1366119521031
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1366119521093
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1366119521140
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1366119521203
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1366119521437
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1366119521500
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1366119521546
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1366119521703
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1366119522031
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1366119522046
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366119535937
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366119588109
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366119590031
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366120040859
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366120041265
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366120048718
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1366120050453
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1366120050593
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366120055625
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366120125265
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366120128312
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366120158843
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366120160656
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366120161671
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366120162468
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366120163671
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366120167375
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366120303953
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366120304265
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366120304343
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1366120304937
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1366120305515
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1366120305546
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1366120305546
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1366120305546
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1366120305593
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1366120305609
